"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"link";"txt_1";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"11";"BreakPoint_V_1";"A";"approved";"873.07";"305.84";"1192.0";"871.0";"==20.9400.201/34.4";"==20.9400.201/34.4";"";"5";"23";"= 411";"+ 400A";"forming machine A";"left fan";"411M0"
"2";"11";"BreakPoint_V_1";"A";"approved";"725.67";"430.57";"1192.0";"871.0";"==20.9400.201/34.5";"==20.9400.201/34.5";"";"5";"23";"= 411";"+ 400A";"forming machine A";"left fan";"411M0"
"3";"12";"BreakPoint_V_1";"A";"approved";"873.07";"305.84";"1192.0";"871.0";"==20.9400.201/35.4";"==20.9400.201/35.4";"";"6";"23";"= 411";"+ 400A";"forming machine A";"right fan";"411M1"
"4";"12";"BreakPoint_V_1";"A";"approved";"725.67";"430.57";"1192.0";"871.0";"==20.9400.201/35.5";"==20.9400.201/35.5";"";"6";"23";"= 411";"+ 400A";"forming machine A";"right fan";"411M1"
"5";"16";"BreakPoint_V_1";"A";"approved";"873.07";"305.84";"1192.0";"871.0";"==20.9400.201/41.4";"==20.9400.201/41.4";"";"10";"23";"= 411";"+ 400A";"forming machine A";"oscillating flap";"411M14"
"6";"16";"BreakPoint_V_1";"A";"approved";"725.67";"430.57";"1192.0";"871.0";"==20.9400.201/41.5";"==20.9400.201/41.5";"";"10";"23";"= 411";"+ 400A";"forming machine A";"oscillating flap";"411M14"
"7";"17";"BreakPoint_V_1";"A";"approved";"873.07";"305.84";"1192.0";"871.0";"==20.9400.201/42.4";"==20.9400.201/42.4";"";"11";"23";"= 411";"+ 400A";"forming machine A";"distrbution belt left";"411M15"
"8";"17";"BreakPoint_V_1";"A";"approved";"725.67";"430.57";"1192.0";"871.0";"==20.9400.201/42.5";"==20.9400.201/42.5";"";"11";"23";"= 411";"+ 400A";"forming machine A";"distrbution belt left";"411M15"
"9";"18";"BreakPoint_V_1";"A";"approved";"873.07";"305.84";"1192.0";"871.0";"==20.9400.201/43.4";"==20.9400.201/43.4";"";"12";"23";"= 411";"+ 400A";"forming machine A";"distrbution belt right";"411M16"
"10";"18";"BreakPoint_V_1";"A";"approved";"725.67";"430.57";"1192.0";"871.0";"==20.9400.201/43.5";"==20.9400.201/43.5";"";"12";"23";"= 411";"+ 400A";"forming machine A";"distrbution belt right";"411M16"
"11";"20";"BreakPoint_V_1";"A";"approved";"861.73";"305.84";"1192.0";"871.0";"==20.9400.201/44a.1";"==20.9400.201/44a.1";"";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"12";"20";"BreakPoint_V_1";"A";"approved";"204.09";"396.55";"1192.0";"871.0";"==20.9400.201/44b.1";"==20.9400.201/44b.1";"";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"13";"20";"BreakPoint_V_1";"A";"approved";"294.8";"396.55";"1192.0";"871.0";"==20.9400.201/44b.2";"==20.9400.201/44b.2";"";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"14";"20";"BreakPoint_V_1";"A";"approved";"408.19";"396.55";"1192.0";"871.0";"==20.9400.201/44b.3";"==20.9400.201/44b.3";"";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"15";"20";"BreakPoint_V_1";"A";"approved";"521.57";"396.55";"1192.0";"871.0";"==20.9400.201/44b.4";"==20.9400.201/44b.4";"";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"16";"20";"BreakPoint_V_1";"A";"approved";"634.96";"396.55";"1192.0";"871.0";"==20.9400.201/44b.6";"==20.9400.201/44b.6";"";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"17";"20";"BreakPoint_V_1";"A";"approved";"748.35";"396.55";"1192.0";"871.0";"==20.9400.201/44b.7";"==20.9400.201/44b.7";"";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"18";"21";"BreakPoint_V_1";"A";"approved";"873.07";"305.84";"1192.0";"871.0";"==20.9400.201/46.4";"==20.9400.201/46.4";"";"14";"23";"= 411";"+ 400A";"forming machine A";"2nd & 3rd screen vibrator";"411M18, 411M19"
"19";"21";"BreakPoint_V_1";"A";"approved";"725.67";"430.57";"1192.0";"871.0";"==20.9400.201/46.5";"==20.9400.201/46.5";"";"14";"23";"= 411";"+ 400A";"forming machine A";"2nd & 3rd screen vibrator";"411M18, 411M19"
"20";"22";"BreakPoint_V_1";"A";"approved";"873.07";"305.84";"1192.0";"871.0";"==20.9400.201/47.4";"==20.9400.201/47.4";"";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
"21";"22";"BreakPoint_V_1";"A";"approved";"748.35";"430.57";"1192.0";"871.0";"==20.9400.201/47.5";"==20.9400.201/47.5";"";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
