"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"4";"con_L_LeftUp";"default";"approved";"226.77";"122.65";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"2";"4";"con_L_LeftUp";"default";"approved";"646.3";"315.41";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"3";"4";"con_L_LeftUp";"default";"approved";"668.98";"338.09";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"4";"4";"con_L_LeftUp";"default";"approved";"657.64";"326.75";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"5";"4";"con_L_LeftUp";"default";"approved";"374.17";"519.5";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"6";"4";"con_L_LeftUp";"default";"approved";"385.51";"530.84";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"7";"4";"con_L_LeftUp";"default";"approved";"396.85";"542.18";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"8";"4";"con_L_LeftUp";"default";"approved";"498.9";"508.17";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"9";"11";"con_L_LeftUp";"default";"approved";"725.67";"712.26";"1192.0";"871.0";"5";"23";"= 411";"+ 400A";"forming machine A";"left fan";"411M0"
"10";"12";"con_L_LeftUp";"default";"approved";"725.67";"712.26";"1192.0";"871.0";"6";"23";"= 411";"+ 400A";"forming machine A";"right fan";"411M1"
"11";"13";"con_L_LeftUp";"default";"approved";"725.67";"712.26";"1192.0";"871.0";"7";"23";"= 411";"+ 400A";"forming machine A";"dosing belt cleaning brush";"411M10"
"12";"14";"con_L_LeftUp";"default";"approved";"725.67";"712.26";"1192.0";"871.0";"8";"23";"= 411";"+ 400A";"forming machine A";"rotary combs";"411M11"
"13";"15";"con_L_LeftUp";"default";"approved";"362.83";"723.6";"1192.0";"871.0";"9";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M13"
"14";"15";"con_L_LeftUp";"default";"approved";"408.19";"746.28";"1192.0";"871.0";"9";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M13"
